emisor,periodo,ebitda,deuda_cp,deuda_lp,gastos_financieros,caja,ingresos,ebitda_imputado
EPM,2023Q2,2356096509.6330004,3409259477.0,8741219626.0,807427628.0,2104704511.0,9113068383.0,False
EPM,2023Q3,1705173818.0001097,3856645723.0,9983902818.0,773783885.0,2889422916.0,9127855042.0,False
EPM,2023Q4,1432524579.51967,4747245719.0,23129694481.212,938523943.0,3244471737.0,9965324754.0,False
EPM,2024Q1,2938291888.1508303,5016086633.0,10538161073.0,848596514.0,4852133092.0,9945009146.0,False
EPM,2024Q2,2565436659.3504496,4795253133.0,12159165150.0,1167169615.0,3941198835.0,9802077612.0,False
EPM,2024Q3,2375184205.5166206,2649989005.0,13221706324.0,876159152.0,2689953964.0,9749583403.0,False
EPM,2024Q4,1452253812.1440997,2680443957.0,29182836470.76,618963470.0,2817912216.0,10121009704.0,False
EPM,2025Q1,2373595901.387565,2891325444.0,14992367331.0,868304118.0,2508565551.0,9273158853.0,False
EPM,2025Q2,2205385733.014419,2201635496.0,16259629548.0,901362101.0,3939314411.0,9514347597.0,False
EPM,2025Q3,1814174399.598016,2240505874.0,15996870214.0,867372214.0,3511302083.0,9657116390.0,False
EPM,2025Q4,4083065535.0,4276700122.0,15278416043.0,897389070.0,4339444923.0,9673215733.0,False
EPM,2026Q1,2619055392.25,4344637631.0,15581720476.0,967118243.0,7865332571.0,9054868690.0,True
EPM,2026Q2,2619055392.25,3383665863.0,14803692091.0,1003249980.0,4949228834.0,10212590186.0,True
ISA,2021Q1,1497487704.0,1586526485.0,22385117413.0,352214757.0,3437159486.0,2365046371.0,False
ISA,2021Q2,1865254332.0,2772660408.0,23361383122.0,403227513.0,4745205878.0,2806005699.0,False
ISA,2021Q3,1839387530.0,3029718456.0,23906514742.0,830948449.0,4967286514.0,2874830708.0,False
ISA,2021Q4,1790103881.0,2866266646.0,25074175073.0,518092046.0,4686462259.0,3071054244.0,False
ISA,2022Q1,1765224727.0,2581547298.0,25388201631.0,540479587.0,4768416675.0,2764782659.0,False
ISA,2022Q2,2016904628.0,2034434792.0,26868429850.0,651950216.0,4766463631.0,3255959458.0,False
ISA,2022Q3,2088523692.0,1866501570.0,29676480339.0,556971016.0,5007942247.0,3556792322.0,False
ISA,2022Q4,1896104101.0,2080458138.0,32089642315.0,633957298.0,5369349875.0,3778470502.0,False
ISA,2023Q1,2392117224.0,2370843589.0,32475669629.0,688810374.0,6691898598.0,3911312898.0,False
ISA,2023Q2,2244966060.0,4093471583.0,28508160911.0,543628562.0,4449949695.0,3547143361.0,False
ISA,2023Q3,1838986542.0,4241385389.0,27143334597.0,576457499.0,4568115996.0,3156317470.0,False
ISA,2023Q4,1653245607.0,2477275894.0,28516340119.0,614595394.0,4071927866.0,3556685342.0,False
ISA,2024Q1,2043430864.0,1981022724.0,29127826237.0,531703845.0,4911704339.0,3668339506.0,False
ISA,2024Q2,1587931198.0,2673395140.0,30148148310.0,556958583.0,4668994221.0,3427147182.0,False
ISA,2024Q3,2687195630.0,2897208354.0,30607514527.0,558832578.0,4483589154.0,3521058168.0,False
ISA,2024Q4,1658234205.0,2491673186.0,31813938812.0,614768877.0,5924486853.0,4318206139.0,False
ISA,2025Q1,1967266031.0,2815301804.0,32344413729.0,566927704.0,4988762155.0,4011697406.0,False
ISA,2025Q2,1211253283.0,1613563150.0,32507892372.0,608136241.0,4024010837.0,3342790127.0,False
ISA,2025Q3,2070321990.0,1644926681.0,32437791918.0,678773166.0,4597898927.0,4041347196.0,False
ISA,2025Q4,1711339365.0,1753653649.0,32037263840.0,660065279.0,4466147938.0,4522170834.0,False
ISA,2026Q1,1761866750.0,2913690276.0,30831249168.0,695194494.0,3628266751.0,3860047398.0,False
ISA,2026Q2,2177564113.0,1015471158.0,33183576658.0,694653797.0,3724781926.0,4735233884.0,False
ISAGEN,2021Q1,459196491.383,174877706.983,8757568742.49,164914670.031,108113193.912,805979154.76,False
ISAGEN,2021Q2,450984292.284,197645708.514,9767853027.295,178294561.911,410046175.955,784777154.223,False
ISAGEN,2021Q3,495900439.235,190697199.525,9244343410.062,189320882.489,141521858.969,861889662.979,False
ISAGEN,2021Q4,616077360.43,232182419.714,10567522274.178,199457653.903,172826714.418,1028862092.395,False
ISAGEN,2022Q1,793724070.202,245345867.442,10628345591.587,250780697.205,735488724.937,1192692033.682,False
