emisor,periodo,ebitda,deuda_cp,deuda_lp,gastos_financieros,caja,ingresos
EPM,2023Q1,2471296945.257,3578457817.0,9423823469.0,747346219.0,3370906455.0,8932838641.0
EPM,2023Q2,2356096509.6330004,3409259477.0,8741219626.0,807427628.0,2104704511.0,9113068383.0
EPM,2023Q3,1705173818.0001097,3856645723.0,9983902818.0,773783885.0,2889422916.0,9127855042.0
EPM,2023Q4,1432524579.51967,4747245719.0,23129694481.212,938523943.0,3244471737.0,9965324754.0
EPM,2024Q1,2938291888.1508303,5016086633.0,10538161073.0,848596514.0,4852133092.0,9945009146.0
EPM,2024Q2,2565436659.3504496,4795253133.0,12159165150.0,1167169615.0,3941198835.0,9802077612.0
EPM,2024Q3,2375184205.5166206,2649989005.0,13221706324.0,876159152.0,2689953964.0,9749583403.0
EPM,2024Q4,1452253812.1440997,2680443957.0,29182836470.76,618963470.0,2817912216.0,10121009704.0
EPM,2025Q1,2373595901.387565,2891325444.0,14992367331.0,868304118.0,2508565551.0,9273158853.0
EPM,2025Q2,2205385733.014419,2201635496.0,16259629548.0,901362101.0,3939314411.0,9514347597.0
EPM,2025Q3,1814174399.5980158,2240505874.0,15996870214.0,867372214.0,3511302083.0,9657116390.0
EPM,2025Q4,4083065535.0,4276700122.0,15278416043.0,897389070.0,4339444923.0,9673215733.0
EPM,2026Q1,,4344637631.0,15581720476.0,967118243.0,7865332571.0,9054868690.0
EPM,2026Q2,,3383665863.0,14803692091.0,1003249980.0,4949228834.0,10212590186.0
ISA,2021Q1,1497487704.0,1586526485.0,22385117413.0,352214757.0,3437159486.0,2365046371.0
ISA,2021Q2,1865254332.0,2772660408.0,23361383122.0,403227513.0,4745205878.0,2806005699.0
ISA,2021Q3,1839387530.0,3029718456.0,23906514742.0,830948449.0,4967286514.0,2874830708.0
ISA,2021Q4,1790103881.0,2866266646.0,25074175073.0,518092046.0,4686462259.0,3071054244.0
ISA,2022Q1,1765224727.0,2581547298.0,25388201631.0,540479587.0,4768416675.0,2764782659.0
ISA,2022Q2,2016904628.0,2034434792.0,26868429850.0,651950216.0,4766463631.0,3255959458.0
ISA,2022Q3,2088523692.0,1866501570.0,29676480339.0,556971016.0,5007942247.0,3556792322.0
ISA,2022Q4,1896104101.0,2080458138.0,32089642315.0,633957298.0,5369349875.0,3778470502.0
ISA,2023Q1,2392117224.0,2370843589.0,32475669629.0,688810374.0,6691898598.0,3911312898.0
ISA,2023Q2,2244966060.0,4093471583.0,28508160911.0,543628562.0,4449949695.0,3547143361.0
ISA,2023Q3,1838986542.0,4241385389.0,27143334597.0,576457499.0,4568115996.0,3156317470.0
ISA,2023Q4,1653245607.0,2477275894.0,28516340119.0,614595394.0,4071927866.0,3556685342.0
ISA,2024Q1,2043430864.0,1981022724.0,29127826237.0,531703845.0,4911704339.0,3668339506.0
ISA,2024Q2,1587931198.0,2673395140.0,30148148310.0,556958583.0,4668994221.0,3427147182.0
ISA,2024Q3,2687195630.0,2897208354.0,30607514527.0,558832578.0,4483589154.0,3521058168.0
ISA,2024Q4,1658234205.0,2491673186.0,31813938812.0,614768877.0,5924486853.0,4318206139.0
ISA,2025Q1,1967266031.0,2815301804.0,32344413729.0,566927704.0,4988762155.0,4011697406.0
ISA,2025Q2,1211253283.0,1613563150.0,32507892372.0,608136241.0,4024010837.0,3342790127.0
ISA,2025Q3,2070321990.0,1644926681.0,32437791918.0,678773166.0,4597898927.0,4041347196.0
ISA,2025Q4,1711339365.0,1753653649.0,32037263840.0,660065279.0,4466147938.0,4522170834.0
ISA,2026Q1,1761866750.0,2913690276.0,30831249168.0,695194494.0,3628266751.0,3860047398.0
ISA,2026Q2,2177564113.0,1015471158.0,33183576658.0,694653797.0,3724781926.0,4735233884.0
ISAGEN,2021Q1,459196491383.0,174877706983.0,8757568742490.0,164914670031.0,108113193912.0,805979154760.0
ISAGEN,2021Q2,450984292284.0,197645708514.0,9767853027295.0,178294561911.0,410046175955.0,784777154223.0
ISAGEN,2021Q3,495900439235.0,190697199525.0,9244343410062.0,189320882489.0,141521858969.0,861889662979.0
ISAGEN,2021Q4,616077360430.0,232182419714.0,10567522274178.0,199457653903.0,172826714418.0,1028862092395.0
ISAGEN,2022Q1,793724070202.0,245345867442.0,10628345591587.0,250780697205.0,735488724937.0,1192692033682.0
ISAGEN,2022Q2,641597871463.0,497603207576.0,12537548787731.0,277927827717.0,188145184503.0,1072715249510.0
ISAGEN,2022Q3,749632503038.0,758892669818.0,12625968878926.0,383329446012.0,376280998903.0,1187979425200.0
ISAGEN,2022Q4,797311181772.0,736513775945.0,12321976096707.0,405541864746.0,309200445391.0,1363603221198.0
ISAGEN,2023Q1,888499070026.0,833030608347.0,12238443549151.0,426573157069.0,860465935258.0,1347150772221.0
ISAGEN,2023Q2,762141147648.0,506588618191.0,12271773645651.0,467760850813.0,232487176032.0,1288627772697.0
ISAGEN,2023Q3,621477333751.0,775601679011.0,11902952340240.0,491573380771.0,222785919957.0,1326629461350.0
ISAGEN,2023Q4,653526277024.0,747995019565.0,12356313253227.0,484091522781.0,220352378389.0,1560954192927.0
ISAGEN,2024Q1,662036392774.0,1156085982360.0,11947010642850.0,465291664787.0,225762797748.0,1349620589114.0
ISAGEN,2024Q2,457997071291.0,1280948082691.0,12631040975262.0,453796958529.0,318568477283.0,1239180670471.0
ISAGEN,2024Q3,817443948718.0,787498580666.0,12610806415403.0,470287644534.0,152653779019.0,1581406297089.0
ISAGEN,2024Q4,825604582402.0,749153869682.0,12690786193430.0,451833001576.0,447197055710.0,1925493480858.0
ISAGEN,2025Q1,880225847582.0,465818561672.0,13091082078242.0,430075689387.0,405756911210.0,1425880545999.0
ISAGEN,2025Q2,580281448051.0,890965919803.0,13644013092091.0,488623622257.0,111346682365.0,1130676565897.0
ISAGEN,2025Q3,737587935212.0,864079748279.0,13524416243707.0,446629126371.0,229542936427.0,1290956857592.0
ISAGEN,2025Q4,701447417189.0,886284555185.0,13281606088925.0,473340448450.0,173857066077.0,1380008616935.0
ISAGEN,2026Q1,590123400410.0,863508327891.0,14084219313145.0,540238769674.0,938597708191.0,1167110709850.0
ISAGEN,2026Q2,809332002099.0,1172181989138.0,13445289484226.0,661133338755.0,287142418911.0,1510133214210.0
